Harlequin Duck	0.3846154	0.375	0.75	0.5625	0.0	0.1428571	0.1538462	0.125	0.2	0.1666667	0.0625	0.173913	0.0	0.0714286	0.0	0.0625	0.0	0.0	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.4545455	0.125	0.3636364	0.3333333	0.2	0.3333333	0.5555556	0.5714286	0.9	0.8823529	0.6363636	0.6666667	0.8571429	0.8571429	0.6666667	0.8333333	0.5	0.8	0.0	0.3333333	0.3333333	0.0	
Surf Scoter	0.5384615	1.0	0.25	0.75	0.4	0.2857143	0.5384615	0.5	0.8	0.25	0.0625	0.173913	0.1818182	0.2142857	0.2	0.125	0.0909091	0.0	0.0	0.0015	0.0	0.0	0.1428571	0.0	0.1111111	0.3333333	0.0909091	0.0625	0.0	0.0	0.1	0.125	0.2222222	0.1904762	0.4	0.5882353	0.4545455	0.25	0.5	0.5714286	0.4444444	0.1666667	0.625	0.8	0.5	0.3333333	0.6666667	0.5	
White-winged Scoter	0.6153846	0.5	0.25	0.375	0.2	0.1428571	0.2307692	0.25	0.6	0.25	0.0625	0.173913	0.1818182	0.0	0.0	0.125	0.0	0.0	0.125	0.0909091	0.0	0.0	0.0	0.0	0.0	0.1666667	0.2727273	0.0625	0.0	0.0	0.1	0.0416667	0.0	0.047619	0.3	0.1176471	0.2727273	0.1666667	0.2857143	0.2857143	0.2222222	0.0	0.375	0.6	0.3333333	0.0	0.6666667	0.0	
Bufflehead	0.7692308	1.0	0.75	0.875	0.9	0.8571429	0.6923077	0.875	0.8	0.9166667	0.375	0.6086957	0.2727273	0.4285714	0.4	0.3125	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0	0.2857143	0.5555556	0.8333333	0.875	1.0	1.0	0.3333333	1.0	1.0	
Common Goldeneye	0.6153846	1.0	1.0	0.875	1.0	0.8571429	0.7692308	0.75	1.0	0.5833333	0.3125	0.3043478	0.1818182	0.1428571	0.1	0.0	0.0909091	0.0	0.125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1111111	0.5	0.875	1.0	1.0	1.0	1.0	1.0	
Barrow's Goldeneye	0.0769231	0.0	0.0	0.375	0.1	0.0015	0.0	0.125	0.0	0.0833333	0.0625	0.0	0.0	0.0	0.0	0.125	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.3333333	0.0	0.0	0.0	
Hooded Merganser	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Merganser	0.2307692	0.25	0.25	0.25	0.2	0.0015	0.1538462	0.25	0.4	0.25	0.1875	0.2608696	0.1818182	0.5714286	0.1	0.3125	0.5454545	0.2	0.25	0.0909091	0.1818182	0.25	0.4285714	0.2727273	0.1111111	0.1666667	0.0	0.125	0.2727273	0.0015	0.2	0.125	0.0555556	0.2380952	0.3	0.1176471	0.0909091	0.0	0.0714286	0.1428571	0.1111111	0.0	0.25	0.2	0.3333333	0.3333333	0.6666667	0.5	
Red-breasted Merganser	0.2307692	0.25	0.25	0.125	0.2	0.1428571	0.0769231	0.125	0.0	0.1666667	0.125	0.1304348	0.0909091	0.1428571	0.1	0.125	0.0909091	0.1	0.0	0.0909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0833333	0.0714286	0.1428571	0.1111111	0.0	0.0	0.0	0.0	0.0	0.3333333	0.0	
Ring-necked Pheasant	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
